idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,datastop,utm_nord,utm_est,lat,lng,location
6766,Ossidi di Azoto,µg/m³,649,Brescia v.Broletto,149.0,BS,Brescia,N,1992-08-05T00:00:00.000,,5043674,595467,45.54006456,10.22281989,POINT (10.22281989 45.54006456)
20571,PM10 (SM2005),µg/m³,665,Viadana v. Cavalli,37.0,MN,Viadana,N,2023-01-18T00:00:00.000,,4975705,619759,44.92469933,10.51750417,POINT (10.51750417 44.92469933)
6296,Ossidi di Azoto,µg/m³,508,Cassano d'Adda v.di Vona,133.0,MI,Cassano d'Adda,S,1984-12-14T00:00:00.000,2018-01-01T00:00:00.000,5040847,540004,45.52000944,9.51223153,POINT (9.51223153 45.52000944)
6640,Particolato Totale Sospeso,µg/m³,531,Pioltello Limito,114.0,MI,Pioltello,S,1989-06-05T00:00:00.000,1998-02-20T00:00:00.000,5036730,525583,45.48363242,9.32736196,POINT (9.32736196 45.48363242)
12675,Cadmio,ng/m³,1264,Sondrio v.Paribelli,290.0,SO,Sondrio,N,2008-04-01T00:00:00.000,,5113073,567873,46.16785664,9.87921169,POINT (9.87921169 46.16785664)
6422,Monossido di Carbonio,mg/m³,630,Crema v.Indipendenza,78.0,CR,Crema,S,1999-11-03T00:00:00.000,2007-04-03T00:00:00.000,5024212,553035,45.36941556,9.67727511,POINT (9.67727511 45.36941556)
5801,Monossido di Carbonio,mg/m³,562,Mariano Comense v.le Lombardia,256.0,CO,Mariano Comense,S,1991-12-18T00:00:00.000,2012-01-04T00:00:00.000,5059472,514067,45.68865731,9.18065777,POINT (9.18065777 45.68865731)
6947,PM10 (SM2005),µg/m³,643,Pavia p.zza Minerva,77.0,PV,Pavia,N,2002-06-06T00:00:00.000,,5003660,511522,45.18633544,9.14667703,POINT (9.14667703 45.18633544)
20443,Biossido di Azoto,µg/m³,681,Moggio Loc. Penscei,1194.0,LC,Moggio,N,2007-03-16T00:00:00.000,,5084478,538586,45.91279097,9.49754261,POINT (9.49754261 45.91279097)
5855,Monossido di Carbonio,mg/m³,537,Lainate v.Mengato,176.0,MI,Lainate,S,1991-09-25T00:00:00.000,2011-07-13T00:00:00.000,5046000,502013,45.56754025,9.02580025,POINT (9.02580025 45.56754025)
9927,PM10 (SM2005),µg/m³,677,Cremona Via Fatebenefratelli,43.0,CR,Cremona,N,2006-04-08T00:00:00.000,,4999315,582066,45.14254358,10.04384767,POINT (10.04384767 45.14254358)
17295,Ozono,µg/m³,558,Busto Arsizio  Accam,206.0,VA,Busto Arsizio,N,2013-01-26T00:00:00.000,,5047718,487687,45.58289429,8.84216546,POINT (8.84216546 45.58289429)
6340,Ossidi di Azoto,µg/m³,547,Milano Parco Lambro,123.0,MI,Milano,S,1995-04-21T00:00:00.000,2018-07-30T00:00:00.000,5038480,519323,45.49958569,9.24732731,POINT (9.24732731 45.49958569)
12588,Nikel,ng/m³,669,Brescia Villaggio Sereno,70.0,BS,Brescia,N,2008-04-01T00:00:00.000,,5040636,593101,45.51306214,10.19190606,POINT (10.19190606 45.51306214)
12017,Biossido di Azoto,µg/m³,1297,Spinadesco v.Battisti,48.0,CR,Spinadesco,N,2011-02-08T00:00:00.000,,5000087,573153,45.15047339,9.93059842,POINT (9.93059842 45.15047339)
12620,Arsenico,ng/m³,542,Meda v. Gagarin,222.0,MB,Meda,N,2008-04-18T00:00:00.000,,5056480,512203,45.660992,9.160225,POINT (9.160225 45.660992)
5727,Ozono,µg/m³,543,Vimercate v. dell'Ospedale,194.0,MB,Vimercate,S,1995-01-11T00:00:00.000,2018-01-01T00:00:00.000,5051330,528723,45.611744,9.3677,POINT (9.3677 45.611744)
5517,Biossido di Azoto,µg/m³,514,Rho via Buon Gesù,152.0,MI,Rho,N,1991-10-03T00:00:00.000,,5041100,503483,45.52342919,9.0446025,POINT (9.0446025 45.52342919)
5845,Monossido di Carbonio,mg/m³,569,Sondrio v.Mazzini,307.0,SO,Sondrio,N,1993-11-01T00:00:00.000,,5113078,567173,46.16797103,9.87014581,POINT (9.87014581 46.16797103)
5840,Monossido di Carbonio,mg/m³,543,Vimercate v. dell'Ospedale,194.0,MB,Vimercate,S,1994-12-23T00:00:00.000,2011-07-01T00:00:00.000,5051330,528723,45.611744,9.3677,POINT (9.3677 45.611744)
10036,Benzene,µg/m³,673,Voghera v.Pozzoni,90.0,PV,Voghera,N,2005-07-28T00:00:00.000,,4982900,500665,44.99955481,9.00844961,POINT (9.00844961 44.99955481)
5554,Biossido di Azoto,µg/m³,551,Arconate v. De Gasperi,182.0,MI,Arconate,N,1999-01-20T00:00:00.000,,5043898,488082,45.54852147,8.84732669,POINT (8.84732669 45.54852147)
6423,Ossidi di Azoto,µg/m³,630,Crema v.Indipendenza,78.0,CR,Crema,S,2002-01-01T00:00:00.000,2007-04-03T00:00:00.000,5024212,553035,45.36941556,9.67727511,POINT (9.67727511 45.36941556)
