giorno,ATS,NO2_mean_ugm3,PM10_SM2005_mean_ugm3,PM25_mean_ugm3
2024-05-18,ATS_Bergamo,12.616203703703704,12.142857142857142,7.25
2024-05-18,ATS_Montagna,12.803676470588234,10.76923076923077,6.25
2024-05-19,ATS_Bergamo,8.392857142857142,12.571428571428571,7.25
2024-05-19,ATS_Montagna,11.545588235294119,11.76923076923077,7.125
2024-05-20,ATS_Bergamo,-88.31510416666667,16.0,8.25
2024-05-20,ATS_Montagna,-386.83750000000003,-698.2857142857143,-1103.0
2024-05-21,ATS_Bergamo,-36.12772277227723,8.0,-1996.2
2024-05-21,ATS_Montagna,-586.4016203703703,7.428571428571429,4.333333333333333
2024-05-22,ATS_Bergamo,15.267592592592594,13.25,6.8
2024-05-22,ATS_Montagna,-363.7507109004739,10.285714285714286,6.555555555555555
2024-05-23,ATS_Bergamo,17.836574074074072,12.125,7.0
2024-05-23,ATS_Montagna,-32.01265508684864,9.785714285714286,5.125
2024-05-24,ATS_Bergamo,-30.513488372093022,11.875,7.4
2024-05-24,ATS_Montagna,-9.298484848484849,10.0,5.555555555555555
2024-05-25,ATS_Bergamo,11.071296296296296,8.125,5.4
2024-05-25,ATS_Montagna,12.505787037037036,7.642857142857143,4.666666666666667
2024-05-26,ATS_Bergamo,10.866203703703704,7.75,4.4
2024-05-26,ATS_Montagna,11.090284360189575,6.571428571428571,4.333333333333333
2024-05-27,ATS_Bergamo,-30.14537037037037,15.375,10.2
2024-05-27,ATS_Montagna,-7.5575242718446605,-701.7142857142857,-1103.7777777777778
2024-05-28,ATS_Bergamo,11.526794258373206,-1237.5,9.0
2024-05-28,ATS_Montagna,-10.147630331753556,-704.1428571428571,-1104.6666666666667
2024-05-29,ATS_Bergamo,-84.60146341463414,-1237.375,9.4
2024-05-29,ATS_Montagna,-8.606250000000001,-703.1428571428571,-1104.888888888889
2024-05-30,ATS_Bergamo,15.787037037037036,15.0,9.6
2024-05-30,ATS_Montagna,16.938425925925927,12.928571428571429,7.888888888888889
2024-05-31,ATS_Bergamo,15.016203703703704,8.375,-1995.6
2024-05-31,ATS_Montagna,15.816666666666666,5.571428571428571,3.3333333333333335
2024-06-01,ATS_Bergamo,12.52037037037037,10.5,5.8
2024-06-01,ATS_Montagna,13.195601851851851,7.214285714285714,4.555555555555555
2024-06-02,ATS_Bergamo,9.355555555555556,11.875,7.0
2024-06-02,ATS_Montagna,-11.99583333333333,9.642857142857142,5.888888888888889
2024-06-03,ATS_Bergamo,12.475,12.875,9.6
2024-06-03,ATS_Montagna,-240.53155452436195,8.142857142857142,6.444444444444445
2024-06-04,ATS_Bergamo,14.094907407407407,12.75,7.4
2024-06-04,ATS_Montagna,-564.2555555555556,12.285714285714286,6.0
2024-06-05,ATS_Bergamo,12.962962962962964,14.625,8.2
2024-06-05,ATS_Montagna,-609.9777777777779,15.357142857142858,9.555555555555555
2024-06-06,ATS_Bergamo,14.3125,18.75,12.2
2024-06-06,ATS_Montagna,-237.8502314814815,17.857142857142858,11.222222222222221
2024-06-07,ATS_Bergamo,16.772222222222222,24.625,14.2
2024-06-07,ATS_Montagna,19.81875,24.0,14.666666666666666
2024-06-08,ATS_Bergamo,14.934722222222222,27.0,17.4
2024-06-08,ATS_Montagna,16.639351851851853,28.428571428571427,17.88888888888889
2024-06-09,ATS_Bergamo,10.875462962962963,28.5,16.6
2024-06-09,ATS_Montagna,12.00635294117647,27.214285714285715,14.88888888888889
2024-06-10,ATS_Bergamo,-591.4171296296297,20.375,7.75
2024-06-10,ATS_Montagna,-35.50071090047393,18.142857142857142,8.555555555555555
2024-06-11,ATS_Bergamo,-683.7407407407408,-1239.75,5.25
2024-06-11,ATS_Montagna,-126.45949074074075,8.571428571428571,3.4444444444444446
2024-06-12,ATS_Bergamo,10.207619047619048,-2850.8571428571427,-2495.5
2024-06-12,ATS_Montagna,-266.22476851851854,6.714285714285714,4.111111111111111
2024-06-13,ATS_Bergamo,-38.057073170731705,-1421.2857142857142,6.0
2024-06-13,ATS_Montagna,-219.09120370370368,-1421.7857142857142,-1107.3333333333333
2024-06-14,ATS_Bergamo,16.323611111111113,15.375,9.8
2024-06-14,ATS_Montagna,-169.7351851851852,-700.8571428571429,-1103.5555555555557
2024-06-15,ATS_Bergamo,14.22037037037037,13.5,7.4
2024-06-15,ATS_Montagna,13.817592592592591,14.5,8.11111111111111
2024-06-16,ATS_Bergamo,9.1875,11.625,5.8
2024-06-16,ATS_Montagna,10.98402777777778,10.928571428571429,6.0
2024-06-17,ATS_Bergamo,13.293055555555556,18.625,9.2
2024-06-17,ATS_Montagna,-263.755787037037,-697.4285714285714,10.777777777777779
2024-06-18,ATS_Bergamo,-448.8291666666667,26.625,16.2
2024-06-18,ATS_Montagna,-76.35532407407408,22.285714285714285,13.0
2024-06-19,ATS_Bergamo,-537.6263888888889,28.375,17.0
2024-06-19,ATS_Montagna,-27.698148148148146,29.142857142857142,14.666666666666666
2024-06-20,ATS_Bergamo,-116.6138888888889,37.125,19.25
2024-06-20,ATS_Montagna,20.29976851851852,-673.7857142857143,19.333333333333332
2024-06-21,ATS_Bergamo,17.15648148148148,48.75,20.8
2024-06-21,ATS_Montagna,16.61689814814815,-668.7857142857143,18.88888888888889
2024-06-22,ATS_Bergamo,11.130092592592591,14.375,6.0
2024-06-22,ATS_Montagna,12.719212962962963,13.785714285714286,6.222222222222222
2024-06-23,ATS_Bergamo,7.380310880829016,7.428571428571429,3.25
2024-06-23,ATS_Montagna,9.215972222222222,6.285714285714286,3.5555555555555554
2024-06-24,ATS_Bergamo,-232.3569306930693,12.875,6.2
2024-06-24,ATS_Montagna,-7.076046511627908,14.571428571428571,-1103.111111111111
2024-06-25,ATS_Bergamo,16.170833333333334,-1414.7142857142858,6.5
2024-06-25,ATS_Montagna,-79.41357142857142,13.615384615384615,-1243.375
2024-06-26,ATS_Bergamo,15.52037037037037,-1416.7142857142858,6.25
2024-06-26,ATS_Montagna,-8.760992907801416,-759.0769230769231,-2216.4444444444443
2024-06-27,ATS_Bergamo,18.34325581395349,-1413.0,9.75
2024-06-27,ATS_Montagna,15.49212962962963,-700.3571428571429,-2215.6666666666665
2024-06-28,ATS_Bergamo,-27.748837209302327,-1230.625,13.0
2024-06-28,ATS_Montagna,17.28263888888889,-1411.2142857142858,-1099.111111111111
2024-06-29,ATS_Bergamo,14.963888888888889,-1224.0,18.2
2024-06-29,ATS_Montagna,-196.1108796296296,-1407.2142857142858,-1097.3333333333333
2024-06-30,ATS_Bergamo,10.386574074074074,-1229.875,11.8
2024-06-30,ATS_Montagna,-60.457175925925924,-1408.642857142857,-1101.4444444444443
2024-07-01,ATS_Bergamo,-132.72184466019417,-2484.125,8.8
2024-07-01,ATS_Montagna,-195.41041666666666,-1412.2142857142858,-1103.0
2024-07-02,ATS_Bergamo,-39.734375,13.571428571428571,7.8
2024-07-02,ATS_Montagna,-35.00692124105012,-703.9285714285714,-1106.6666666666667
2024-07-03,ATS_Bergamo,11.9703125,11.0,5.2
2024-07-03,ATS_Montagna,-213.8065491183879,-1420.5,-2218.1111111111113
2024-07-04,ATS_Bergamo,-290.29393939393935,-1236.875,9.4
2024-07-04,ATS_Montagna,-60.225,11.5,6.555555555555555
2024-07-05,ATS_Bergamo,16.25,16.0,10.2
2024-07-05,ATS_Montagna,-81.58173076923077,15.785714285714286,8.666666666666666
2024-07-06,ATS_Bergamo,15.052604166666667,15.714285714285714,9.6
2024-07-06,ATS_Montagna,-10.087962962962964,15.571428571428571,9.11111111111111
2024-07-07,ATS_Bergamo,12.090760869565216,15.5,7.75
2024-07-07,ATS_Montagna,-152.00208333333333,12.0,7.0
