codice_dusaf,macro_cat,area_km2
2111,Agricola,0.32526800717313104
2242,Agricola,0.04920795093763783
221,Agricola,0.04886884754507558
221,Agricola,0.0052418445390812465
2111,Agricola,0.01709095430163302
1122,Residenziale,5.329682981417032e-06
2111,Agricola,0.012726291767073065
1123,Residenziale,0.0025388111207379554
3241,Boschi e zone naturali,0.0034576289976633347
222,Agricola,0.005549331895094155
1123,Residenziale,0.00175900824381847
2111,Agricola,0.003322591473935037
221,Agricola,0.0016493795926784964
2111,Agricola,0.004481306460948773
2111,Agricola,0.0035135859627974946
221,Agricola,0.004035503224912387
221,Agricola,0.006767137155832871
1122,Residenziale,0.003742661702509798
2111,Agricola,0.02490651182984797
2111,Agricola,0.04157176724326396
3241,Boschi e zone naturali,0.004960575982098123
3242,Boschi e zone naturali,0.005950574866273519
222,Agricola,0.011350045122869946
2111,Agricola,0.009497363411201512
1123,Residenziale,0.004007732631622284
1122,Residenziale,0.00668922561709191
2111,Agricola,0.0017394574771291806
1122,Residenziale,0.037498657724596235
2111,Agricola,0.004116944423681848
3242,Boschi e zone naturali,0.013962709946164196
223,Agricola,0.003591513870130136
221,Agricola,0.00999833914523417
1121,Residenziale,0.022479242863245204
2112,Agricola,0.00984321121322487
31111,Boschi e zone naturali,0.053905583033079026
2312,Agricola,0.004130110378307007
2312,Agricola,0.00031525275952478906
1122,Residenziale,0.009426406502179237
3222,Boschi e zone naturali,0.00036251066698071363
221,Agricola,0.00653484973202667
2111,Agricola,0.0059005893995527975
2111,Agricola,0.013758280992157677
1123,Residenziale,0.006696504968121517
2111,Agricola,0.008585470552948966
1122,Residenziale,0.009438322358169847
2111,Agricola,0.0023122777067381855
2111,Agricola,0.0071924805866815725
223,Agricola,0.0039729741783514775
2312,Agricola,0.008398155302232565
31112,Boschi e zone naturali,0.003912877567768546
31122,Boschi e zone naturali,0.006762367467447756
3242,Boschi e zone naturali,0.004925328871319872
1121,Residenziale,0.010012335454824455
2112,Agricola,0.0060256264176880014
1112,Residenziale,0.03187821026929357
3113,Boschi e zone naturali,0.003008492964065953
3241,Boschi e zone naturali,0.0013280521644412143
3242,Boschi e zone naturali,0.012218687239227083
31111,Boschi e zone naturali,0.004391869007604979
31111,Boschi e zone naturali,0.017461382456702156
2111,Agricola,0.0026937975666085465
2111,Agricola,0.0018641425432019752
1121,Residenziale,0.00518194374332744
31111,Boschi e zone naturali,0.00012931833954473362
1121,Residenziale,0.007516313067799554
3242,Boschi e zone naturali,0.004419072442707196
3242,Boschi e zone naturali,0.004217919247452986
221,Agricola,0.002541786259827585
3242,Boschi e zone naturali,0.0031576050622210685
1122,Residenziale,0.027999810846585923
2111,Agricola,0.0029779404381746442
2312,Agricola,0.005814063528480989
2312,Agricola,0.005971399778528293
31111,Boschi e zone naturali,0.023493196849190472
1122,Residenziale,0.013086398041188321
221,Agricola,0.47404944628483975
3242,Boschi e zone naturali,0.006144044920582018
1411,Altre superfici artificiali,0.0017916392074390731
3241,Boschi e zone naturali,6.023034833447913e-06
3241,Boschi e zone naturali,0.0008652748096328615
221,Agricola,0.008996710882478392
31111,Boschi e zone naturali,0.03768253739869074
2111,Agricola,0.0006748439394215496
31111,Boschi e zone naturali,8.468990120045892e-07
2111,Agricola,0.0012086437962826686
3242,Boschi e zone naturali,0.00524200665167802
3242,Boschi e zone naturali,0.0029685032354096626
2111,Agricola,0.005183221139235345
31111,Boschi e zone naturali,0.015110483238459657
3242,Boschi e zone naturali,0.003518140488850256
222,Agricola,0.004595115938989208
2312,Agricola,0.008506869880579705
1123,Residenziale,0.002065934506330906
31111,Boschi e zone naturali,0.02917927978255554
3113,Boschi e zone naturali,0.05525863759211817
221,Agricola,0.0011347276249923993
2111,Agricola,0.0012542918770601826
2111,Agricola,0.0017585785141478111
3121,Boschi e zone naturali,0.05027337735323034
3211,Boschi e zone naturali,0.063108080875277
31311,Boschi e zone naturali,0.015970715605048258
3121,Boschi e zone naturali,0.4980354450283342
3241,Boschi e zone naturali,0.015533508345552102
2311,Agricola,0.005899935489005104
2311,Agricola,0.007902551395901751
31311,Boschi e zone naturali,0.12121818015163238
3241,Boschi e zone naturali,0.01713426250588115
31321,Boschi e zone naturali,0.017835360900807996
3241,Boschi e zone naturali,0.012233700244897658
3122,Boschi e zone naturali,0.015703545344511714
3241,Boschi e zone naturali,0.00992985001075097
3241,Boschi e zone naturali,0.00448333246360585
3212,Boschi e zone naturali,0.010846917746059682
31321,Boschi e zone naturali,0.09731612484003757
3121,Boschi e zone naturali,0.0010154724603446835
31311,Boschi e zone naturali,0.06973506339323667
3212,Boschi e zone naturali,0.03001145072364398
3121,Boschi e zone naturali,0.0006690185865347577
3241,Boschi e zone naturali,0.023688025114859686
3121,Boschi e zone naturali,0.006694064685085499
3121,Boschi e zone naturali,0.009351903997012828
3121,Boschi e zone naturali,0.0068630049300080626
3121,Boschi e zone naturali,0.019368439027043043
3121,Boschi e zone naturali,0.005394667644591373
3121,Boschi e zone naturali,0.003540788078453726
333,Boschi e zone naturali,0.008507632337711367
2312,Agricola,0.019598744940798805
3212,Boschi e zone naturali,0.00481950020067775
3241,Boschi e zone naturali,0.0020666877159579585
3211,Boschi e zone naturali,0.0023910299898694883
3211,Boschi e zone naturali,0.007798909802317429
333,Boschi e zone naturali,0.03291341858140766
3221,Boschi e zone naturali,0.003885140132477214
333,Boschi e zone naturali,0.04640641891202147
3241,Boschi e zone naturali,0.09493836815331708
3221,Boschi e zone naturali,0.05136818825425018
332,Boschi e zone naturali,0.0049326932827586795
3241,Boschi e zone naturali,0.02727772523253884
332,Boschi e zone naturali,0.002751377644401242
3211,Boschi e zone naturali,0.05108153184068025
332,Boschi e zone naturali,0.0061322621884608184
3221,Boschi e zone naturali,0.005373163359394541
3211,Boschi e zone naturali,0.003711062922063338
332,Boschi e zone naturali,0.017587515341214218
3241,Boschi e zone naturali,0.038627768956076246
333,Boschi e zone naturali,0.0050047299141155075
3122,Boschi e zone naturali,0.013613423399843278
2311,Agricola,0.009685179185652357
3121,Boschi e zone naturali,1.667852915007615
2312,Agricola,0.009134183973134626
3122,Boschi e zone naturali,0.04297493025909428
332,Boschi e zone naturali,0.00493670924231256
3211,Boschi e zone naturali,0.01764334962211287
332,Boschi e zone naturali,0.007044869410899828
332,Boschi e zone naturali,0.003267234426569361
332,Boschi e zone naturali,0.006043195314293343
332,Boschi e zone naturali,0.005993315381707709
332,Boschi e zone naturali,0.008735846783939696
3211,Boschi e zone naturali,0.0037972957045717816
332,Boschi e zone naturali,0.006958906072574425
3211,Boschi e zone naturali,0.008371363585629966
2311,Agricola,0.0013973614917986768
2311,Agricola,0.03125867864723868
1123,Residenziale,0.003527509469852887
3242,Boschi e zone naturali,0.014313907272961468
2311,Agricola,0.002840779478214517
2311,Agricola,0.041665727383956394
