anno_label,parametro,provincia,comune,giorni_presenti,giorni_attesi,completezza_pct
2025-2026,PM10,BG,Gandellino,468,511,91.6
2025-2026,PM10,BG,Gandino,405,511,79.3
2025-2026,PM10,BG,Gandosso,469,511,91.8
2025-2026,PM10,LC,Garbagnate Monastero,402,511,78.7
2025-2026,PM10,LC,Garlate,401,511,78.5
2025-2026,PM10,CO,Garzeno,472,511,92.4
2025-2026,PM10,BG,Gaverina Terme,467,511,91.4
2025-2026,PM10,BG,Gazzaniga,398,511,77.9
2025-2026,PM10,CO,Gera Lario,471,511,92.2
2025-2026,PM10,SO,Gerola Alta,470,511,92.0
2025-2026,PM10,BG,Ghisalba,468,511,91.6
2025-2026,PM10,BS,Gianico,409,511,80.0
2025-2026,PM10,MB,Giussano,394,511,77.1
2025-2026,PM10,SO,Gordona,405,511,79.3
2025-2026,PM10,BG,Gorlago,468,511,91.6
2025-2026,PM10,BG,Gorle,468,511,91.6
2025-2026,PM10,BG,Gorno,468,511,91.6
2025-2026,PM10,BG,Grassobbio,468,511,91.6
2025-2026,PM10,CO,Gravedona Ed Uniti,467,511,91.4
2025-2026,PM10,BG,Gromo,468,511,91.6
2025-2026,PM10,BG,Grone,468,511,91.6
2025-2026,PM10,SO,Grosio,469,511,91.8
2025-2026,PM10,SO,Grosotto,469,511,91.8
2025-2026,PM10,BG,Grumello Del Monte,466,511,91.2
2025-2026,PM10,LC,Imbersago,405,511,79.3
2025-2026,PM10,BS,Incudine,469,511,91.8
2025-2026,PM10,LC,Introbio,316,511,61.8
2025-2026,PM10,BG,Isola Di Fondra,467,511,91.4
2025-2026,PM10,BG,Isso,466,511,91.2
2025-2026,PM10,LC,La Valletta Brianza,403,511,78.9
2025-2026,PM10,BG,Lallio,469,511,91.8
2025-2026,PM10,SO,Lanzada,468,511,91.6
2025-2026,PM10,MB,Lazzate,393,511,76.9
2025-2026,PM10,LC,Lecco,310,511,60.7
2025-2026,PM10,BG,Leffe,393,511,76.9
2025-2026,PM10,BG,Lenna,394,511,77.1
2025-2026,PM10,MB,Lentate Sul Seveso,408,511,79.8
2025-2026,PM10,MB,Lesmo,393,511,76.9
2025-2026,PM10,BG,Levate,468,511,91.6
2025-2026,PM10,LC,Lierna,310,511,60.7
2025-2026,PM10,MB,Limbiate,393,511,76.9
2025-2026,PM10,MB,Lissone,392,511,76.7
2025-2026,PM10,SO,Livigno,467,511,91.4
2025-2026,PM10,CO,Livo,468,511,91.6
2025-2026,PM10,BG,Locatello,393,511,76.9
2025-2026,PM10,LC,Lomagna,311,511,60.9
2025-2026,PM10,BS,Losine,404,511,79.1
2025-2026,PM10,BG,Lovere,468,511,91.6
2025-2026,PM10,SO,Lovero,469,511,91.8
2025-2026,PM10,BS,Lozio,468,511,91.6
2025-2026,PM10,BG,Lurano,467,511,91.4
2025-2026,PM10,BG,Luzzana,467,511,91.4
2025-2026,PM10,MB,Macherio,392,511,76.7
2025-2026,PM10,SO,Madesimo,468,511,91.6
2025-2026,PM10,BG,Madone,470,511,92.0
2025-2026,PM10,BS,Malegno,404,511,79.1
2025-2026,PM10,LC,Malgrate,332,511,65.0
2025-2026,PM10,BS,Malonno,406,511,79.5
2025-2026,PM10,LC,Mandello Del Lario,313,511,61.3
2025-2026,PM10,SO,Mantello,406,511,79.5
2025-2026,PM10,BG,Mapello,468,511,91.6
2025-2026,PM10,LC,Margno,313,511,61.3
2025-2026,PM10,BG,Martinengo,468,511,91.6
2025-2026,PM10,SO,Mazzo Di Valtellina,467,511,91.4
2025-2026,PM10,MB,Meda,394,511,77.1
2025-2026,PM10,BG,Medolago,466,511,91.2
2025-2026,PM10,SO,Mello,469,511,91.8
