idsensore,nometiposensore,unitamisura,idstazione,sensore,provincia,comune,storico,datastart,datastop,comune_norm
105763,Particelle sospese PM2.5,µg/m³,100727,PM2.5 Treviolo,BG,Treviolo,N         ,2016-01-01T00:00:00.000,,Treviolo
105764,Particelle sospese PM2.5,µg/m³,100728,PM2.5 Ubiale Clanezzo,BG,Ubiale Clanezzo,N         ,2016-01-01T00:00:00.000,,Ubiale Clanezzo
105765,Particelle sospese PM2.5,µg/m³,100728,PM2.5 Urbanizzato Ubiale Clanezzo,BG,Ubiale Clanezzo,N         ,2016-01-01T00:00:00.000,,Ubiale Clanezzo
105766,Particelle sospese PM2.5,µg/m³,100729,PM2.5 Urgnano,BG,Urgnano,N         ,2016-01-01T00:00:00.000,,Urgnano
105767,Particelle sospese PM2.5,µg/m³,100730,PM2.5 Valbondione,BG,Valbondione,N         ,2016-01-01T00:00:00.000,,Valbondione
105768,Particelle sospese PM2.5,µg/m³,100731,PM2.5 Valbrembo,BG,Valbrembo,N         ,2016-01-01T00:00:00.000,,Valbrembo
105769,Particelle sospese PM2.5,µg/m³,100732,PM2.5 Valgoglio,BG,Valgoglio,N         ,2016-01-01T00:00:00.000,,Valgoglio
105770,Particelle sospese PM2.5,µg/m³,100733,PM2.5 Valleve,BG,Valleve,N         ,2016-01-01T00:00:00.000,,Valleve
105771,Particelle sospese PM2.5,µg/m³,100734,PM2.5 Valnegra,BG,Valnegra,N         ,2016-01-01T00:00:00.000,,Valnegra
105772,Particelle sospese PM2.5,µg/m³,100735,PM2.5 Valsecca,BG,Valsecca,S         ,2016-01-01T00:00:00.000,2017-10-31T00:00:00.000,Valsecca
105773,Particelle sospese PM2.5,µg/m³,100736,PM2.5 Valtorta,BG,Valtorta,N         ,2016-01-01T00:00:00.000,,Valtorta
105774,Particelle sospese PM2.5,µg/m³,100737,PM2.5 Vedeseta,BG,Vedeseta,N         ,2016-01-01T00:00:00.000,,Vedeseta
105775,Particelle sospese PM2.5,µg/m³,100738,PM2.5 Verdellino,BG,Verdellino,N         ,2016-01-01T00:00:00.000,,Verdellino
105776,Particelle sospese PM2.5,µg/m³,100739,PM2.5 Verdello,BG,Verdello,N         ,2016-01-01T00:00:00.000,,Verdello
105777,Particelle sospese PM2.5,µg/m³,100740,PM2.5 Vertova,BG,Vertova,N         ,2016-01-01T00:00:00.000,,Vertova
105778,Particelle sospese PM2.5,µg/m³,100740,PM2.5 Urbanizzato Vertova,BG,Vertova,N         ,2016-01-01T00:00:00.000,,Vertova
105779,Particelle sospese PM2.5,µg/m³,100741,PM2.5 Viadanica,BG,Viadanica,N         ,2016-01-01T00:00:00.000,,Viadanica
105780,Particelle sospese PM2.5,µg/m³,100742,PM2.5 Vigano San Martino,BG,Vigano San Martino,N         ,2016-01-01T00:00:00.000,,Vigano San Martino
105781,Particelle sospese PM2.5,µg/m³,100743,PM2.5 Vigolo,BG,Vigolo,N         ,2016-01-01T00:00:00.000,,Vigolo
105782,Particelle sospese PM2.5,µg/m³,100744,PM2.5 Villa d'Adda,BG,Villa d'Adda,N         ,2016-01-01T00:00:00.000,,Villa D'Adda
105783,Particelle sospese PM2.5,µg/m³,100745,PM2.5 Villa d'Almè,BG,Villa d'Almè,N         ,2016-01-01T00:00:00.000,,Villa D'Almè
