giorno,ATS,parametro,valore_medio,n_misure
2021-03-13,ATS_Bergamo,NO2,25.79,216
2021-03-13,ATS_Bergamo,PM10,58.86,7
2021-03-13,ATS_Bergamo,PM25,43.25,4
2021-03-13,ATS_Montagna,NO2,26.36,192
2021-03-13,ATS_Montagna,PM10,50.43,7
2021-03-13,ATS_Montagna,PM25,34.33,3
2021-03-14,ATS_Bergamo,NO2,11.51,201
2021-03-14,ATS_Bergamo,PM10,22.86,7
2021-03-14,ATS_Bergamo,PM25,14.75,4
2021-03-14,ATS_Montagna,NO2,14.97,192
2021-03-14,ATS_Montagna,PM10,24.57,7
2021-03-14,ATS_Montagna,PM25,17.0,3
2021-03-15,ATS_Bergamo,NO2,16.52,216
2021-03-15,ATS_Bergamo,PM10,11.57,7
2021-03-15,ATS_Bergamo,PM25,6.75,4
2021-03-15,ATS_Montagna,NO2,17.97,192
2021-03-15,ATS_Montagna,PM10,10.0,7
2021-03-15,ATS_Montagna,PM25,7.33,3
2021-03-16,ATS_Bergamo,NO2,9.88,215
2021-03-16,ATS_Bergamo,PM10,8.62,8
2021-03-16,ATS_Bergamo,PM25,7.8,5
2021-03-16,ATS_Montagna,NO2,12.52,191
2021-03-16,ATS_Montagna,PM10,8.5,6
2021-03-16,ATS_Montagna,PM25,6.33,3
2021-03-17,ATS_Bergamo,NO2,16.08,215
2021-03-17,ATS_Bergamo,PM10,10.12,8
2021-03-17,ATS_Bergamo,PM25,8.4,5
2021-03-17,ATS_Montagna,NO2,22.65,192
2021-03-17,ATS_Montagna,PM10,13.0,6
2021-03-17,ATS_Montagna,PM25,8.0,3
2021-03-18,ATS_Bergamo,NO2,21.31,216
2021-03-18,ATS_Bergamo,PM10,15.5,8
2021-03-18,ATS_Bergamo,PM25,12.0,5
2021-03-18,ATS_Montagna,NO2,20.44,192
2021-03-18,ATS_Montagna,PM10,18.0,7
2021-03-18,ATS_Montagna,PM25,11.0,3
2021-03-19,ATS_Bergamo,NO2,16.97,216
2021-03-19,ATS_Bergamo,PM10,18.38,8
2021-03-19,ATS_Bergamo,PM25,14.2,5
2021-03-19,ATS_Montagna,NO2,21.16,192
2021-03-19,ATS_Montagna,PM10,21.71,7
2021-03-19,ATS_Montagna,PM25,13.33,3
2021-03-20,ATS_Bergamo,NO2,15.67,216
2021-03-20,ATS_Bergamo,PM10,19.12,8
2021-03-20,ATS_Bergamo,PM25,16.0,5
2021-03-20,ATS_Montagna,NO2,20.52,192
2021-03-20,ATS_Montagna,PM10,24.57,7
2021-03-20,ATS_Montagna,PM25,18.0,3
2021-03-21,ATS_Bergamo,NO2,13.05,216
2021-03-21,ATS_Bergamo,PM10,14.88,8
2021-03-21,ATS_Bergamo,PM25,12.6,5
2021-03-21,ATS_Montagna,NO2,15.78,192
2021-03-21,ATS_Montagna,PM10,17.43,7
2021-03-21,ATS_Montagna,PM25,14.67,3
2021-03-22,ATS_Bergamo,NO2,30.73,216
2021-03-22,ATS_Bergamo,PM10,29.25,8
2021-03-22,ATS_Bergamo,PM25,23.6,5
2021-03-22,ATS_Montagna,NO2,28.23,186
2021-03-22,ATS_Montagna,PM10,26.43,7
2021-03-22,ATS_Montagna,PM25,20.67,3
2021-03-23,ATS_Bergamo,NO2,24.71,214
2021-03-23,ATS_Bergamo,PM10,27.12,8
2021-03-23,ATS_Bergamo,PM25,18.6,5
2021-03-23,ATS_Montagna,NO2,27.36,186
2021-03-23,ATS_Montagna,PM10,27.43,7
2021-03-23,ATS_Montagna,PM25,17.33,3
2021-03-24,ATS_Bergamo,NO2,33.28,216
2021-03-24,ATS_Bergamo,PM10,40.25,8
2021-03-24,ATS_Bergamo,PM25,28.0,5
2021-03-24,ATS_Montagna,NO2,35.48,192
2021-03-24,ATS_Montagna,PM10,45.71,7
2021-03-24,ATS_Montagna,PM25,29.33,3
2021-03-25,ATS_Bergamo,NO2,34.59,216
2021-03-25,ATS_Bergamo,PM10,58.62,8
2021-03-25,ATS_Bergamo,PM25,41.0,5
2021-03-25,ATS_Montagna,NO2,39.66,192
2021-03-25,ATS_Montagna,PM10,62.29,7
2021-03-25,ATS_Montagna,PM25,41.0,3
2021-03-26,ATS_Bergamo,NO2,28.49,216
2021-03-26,ATS_Bergamo,PM10,60.38,8
2021-03-26,ATS_Bergamo,PM25,39.6,5
2021-03-26,ATS_Montagna,NO2,27.42,192
2021-03-26,ATS_Montagna,PM10,42.71,7
2021-03-26,ATS_Montagna,PM25,32.0,3
